"ID";"Reference";"Footprint";"Quantity";"Value";"Manufacturer";"Datasheet";
1;"BT1";"Keystone_3000_1x12mm-CoinCell";1;"Battery_Cell";"Keystone Electronics Corporation";"https://www.keyelco.com/product.cfm/product_id/777/";
2;"C1,C2,C8,C11,C15,C17,C19,C21,C22,C23,C25,C26";"C_0805";12;"100nF";"Yageo Corporation";"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf";
3;"C3,C14";"C_0805";2;"470nF";"Yageo Corporation";"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf";
4;"C4,C5,C9,C10,C12,C16,C18,C28,C29,C30,C31,C32";"C_0805";12;"1uF";"Yageo Corporation";"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf";
5;"C6,C7";"C_0805";2;"15pF";"Yageo Corporation";"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf";
6;"C13,C20,C24,C27";"C_0805";4;"2.2uF";"Yageo Corporation";"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf";
7;"D1";"SOT-23";1;"BAT54C";"Vishay Intertechnology, Incorporated";"http://www.vishay.com/docs/85508/bat54.pdf";
8;"D2";"SOT-143";1;"SP0503BAHTG";"Littelfuse Incorporated";"http://www.littelfuse.com/~/media/files/littelfuse/technical%20resources/documents/data%20sheets/sp05xxba.pdf";
9;"D3,D4,D6,D7";"LED_0805";4;"LED";"Osram Opto Semiconductors Incorporated";"https://dammedia.osram.info/media/resource/hires/osram-dam-2493936/LG%20R971.pdf";
10;"D5";"D_SOD-123";1;"D_PMEG";"Nexperia B.V.";"https://assets.nexperia.com/documents/data-sheet/PMEG3010EGW.pdf";
11;"DS1";"Eastrising_ER-CON30HT-1_01x30_P0.50mm";1;"ER-CON30";"EastRising Technology Corporation, Limited";"https://www.buydisplay.com/download/connector/ER-CON30HT-1.pdf";
12;"DS2";"Eastrising_ER-CON24HT-1_01x24_P0.50mm";1;"ER-CON24";"EastRising Technology Corporation, Limited";"https://www.buydisplay.com/download/connector/ER-CON24HT-1.pdf";
13;"FID1,FID3";"Fiducial_1mm_Dia_2.54mm_Outer_CopperTop";2;"Fiducial-PCB";;;
14;"FID2,FID4,FID5,FID6";"Fiducial_1mm_Dia_2.54mm_Outer_CopperBottom";4;"Fiducial-PCB";;;
15;"J1";"Pin_Header_Straight_1x20_Pitch2.54mm";1;"CONN_WEST";"Sullins Connector Solutions";"https://suddendocs.samtec.com/catalog_english/tsw_th.pdf";
16;"J2";"Pin_Header_Straight_2x04_Pitch2.54mm";1;"CONN_DEDI";"Sullins Connector Solutions";"https://suddendocs.samtec.com/catalog_english/tsw_th.pdf";
17;"J3";"Socket_Strip_Straight_1x07_Pitch2.54mm";1;"CONN_OLED";"Sullins Connector Solutions";"http://www.sullinscorp.com/product/?pn=PPTC071LFBN-RC";
18;"J4";"USB_C_Receptacle_Amphenol_12401610E4-2A";1;"USB_C_Receptacle";"Amphenol Corporation";"https://cdn.amphenol-icc.com/media/wysiwyg/files/drawing/c12401610_c.pdf";
19;"J5";"Pin_Header_Straight_1x14_Pitch2.54mm";1;"CONN_SOUTH";"Sullins Connector Solutions";"https://suddendocs.samtec.com/catalog_english/tsw_th.pdf";
20;"J6";"Pin_Header_Straight_1x20_Pitch2.54mm";1;"CONN_EAST";"Sullins Connector Solutions";"https://suddendocs.samtec.com/catalog_english/tsw_th.pdf";
