"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Hersteller";"Teilnummer";"Octopartnummer";"Datenblatt";"Anbieter Haupt";"Anbieter Neben";"Notiz";
1;"C1,C2";"C_0805";2;"12pF";"Walsin Technology Corporation";"0805N120J500CT";"22593714";"http://www.passivecomponent.com/indexsea/ASC_General_Purpose.pdf";"https://www.arrow.com/en/products/0805n120j500ct/walsin-technology/";"https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_12pF-120-5-50V_C152848.html";"Must match Y1 crystal.";
2;"C3,C4,C7,C10,C12,C13,C14,C15,C16,C18,C20,C22,C23,C24,C25,C26";"C_0805";16;"100nF";"Walsin Technology Corporation";"C0805C104M5UACTU";"97399";"http://www.passivecomponent.com/indexsea/ASC_General_Purpose.pdf";"https://lcsc.com/product-detail/_0805B104K250_C128353.html";"https://www.arrow.com/en/products/c0805c104m5uac7800/kemet-corporation/";;
3;"C5,C6,C17";"C_0805";3;"2.2uF";"Samsung Electro-Mechanics Company, Limited";"CL21B225KPFNNNE";"9291904";"http://www.samsungsem.com/global/support/product-search/mlcc/__icsFiles/afieldfile/2018/07/24/CL21B225KPFNNNE.pdf";"https://www.arrow.com/en/products/cl21b225kpfnnne/samsung-electro-mechanics/";"https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_SAMSUNG_CL21A225KOFNNNE_2-2uF-225-10-16V_C1731.html";;
4;"C8,C9,C11,C19,C21";"C_0805";5;"1uF";"Yageo Corporation";"CC0805ZRY5V7BB105";"42244655";"http://www.yageo.com/documents/recent/UPY-GPHC_Y5V_6.3V-to-50V_8.pdf";"https://www.futureelectronics.com/p/capacitors--ceramic-capacitors--multilayer-ceramic-capacitors/cc0805zry5v7bb105-yageo-1049154/";"https://lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_1uF-106-10-16V_C94122.html";;
5A;"C27";"C_1206";1;"47nF";"Kemet Electronics Corporation";"C1206C473G1GECTU";"91312357";"https://content.kemet.com/datasheets/KEM_C1091_C0G_ESD.pdf";"https://www.mouser.com/ProductDetail/KEMET/C1206C473G1GECTU/";"https://www.futureelectronics.com/p/capacitors--ceramic-capacitors--multilayer-ceramic-capacitors/c3216c0g1h473j115aa-tdk-1020645/";"Optional part, must be C0G for capacitive touch input.";
5B;"C27";"C_0805";1;"47nF";"Kemet Electronics Corporation";"C0805C473M3GECTU";"91308838";"https://content.kemet.com/datasheets/KEM_C1091_C0G_ESD.pdf";"https://www.mouser.com/ProductDetail/KEMET/C0805C473M3GECTU/";"https://de.rs-online.com/web/p/keramik-multilayer-kondensatoren/8029879/";"Optional C0G part, changed design from 1206 to 0805!";
6;"R1,R7,R10";"R_0805";3;"10K";"Stackpole Electronics Incorporated";"RMCF0805FT10K0";"19213827";"https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf";"https://www.arrow.com/en/products/rmcf0805ft10k0/stackpole-electronics/";"https://www.futureelectronics.com/p/passives--resistors--fixed-resistors/rmcf0805ft10k0-stackpole-electronics-2617579/";;
7;"R38";"R_0805";1;"100K";"Yageo Corporation";"RC0805FR-07100KL";"40025548";"http://www.yageo.com/documents/recent/PYu-RC0805_51_RoHS_L_v5.pdf";"https://www.arrow.com/en/products/rc0805fr-07100kl/yageo/";"https://www.mouser.com/ProductDetail/Yageo/RC0805FR-07100KL/";;
8;"R2,R3,R15,R32";"R_0805";4;"150";"Yageo Corporation";"RC0805FR-07150RL";"39817765";"http://www.yageo.com/documents/recent/PYu-RC0805_51_RoHS_L_v5.pdf";"https://www.arrow.com/en/products/rc0805fr-07150rl/yageo/";"https://www.mouser.com/ProductDetail/Yageo/RC0805JR-07150RL/";;
9;"R4";"R_0805";1;"390K";"Yageo Corporation";"RC0805JR-07390KL";"40025588";"http://www.yageo.com/documents/recent/PYu-RC0805_51_RoHS_L_v5.pdf";"https://www.arrow.com/en/products/rc0805jr-07390kl/yageo/";"https://www.futureelectronics.com/p/passives--resistors--fixed-resistors/rc0805jr-07390kl-yageo-9907577/";;
