Designator,Footprint,Mid X,Mid Y,Layer,Rotation,Comment
C1,0805,48.50,36.50,T,-90.00,12pF
C2,0805,40.00,36.50,T,-90.00,12pF
C3,0805,31.50,48.00,T,180.00,100nF
C4,0805,36.50,47.50,T,90.00,100nF
C5,0805,37.00,10.00,T,90.00,2.2uF
C6,0805,35.00,12.00,T,90.00,2.2uF
C7,0805,14.00,48.00,T,0.00,100nF
C8,0805,14.00,40.50,T,0.00,1uF
C9,0805,14.00,38.00,T,0.00,1uF
C10,0805,15.50,33.32,T,0.00,100nF
C11,0805,15.50,31.22,T,0.00,1uF
C12,0805,51.50,32.00,T,0.00,100nF
C13,0805,37.50,35.00,T,90.00,100nF
C14,0805,33.00,31.50,T,90.00,100nF
C15,0805,37.50,16.50,T,-90.00,100nF
C16,0805,48.00,20.40,T,90.00,100nF
C17,0805,14.00,17.00,T,0.00,2.2uF
C18,0805,48.50,31.42,T,90.00,100nF
C19,0805,28.00,41.20,T,-90.00,1uF
C20,0805,27.25,16.00,T,90.00,100nF
C21,0805,28.00,45.50,T,90.00,1uF
C22,0805,59.00,2.50,T,90.00,100nF
C23,0805,29.25,16.00,T,90.00,100nF
C24,0805,35.00,6.15,T,90.00,100nF
C27,1206,34.50,47.00,T,90.00,47nF
C31,0805,10.00,32.92,T,90.00,2.2uF
C32,0805,12.00,32.00,T,90.00,4.7uF
C33,0805,10.20,21.00,T,0.00,1uF
D1,0805,23.60,48.00,T,0.00,YELLOW
D2,SOD-123,56.50,29.50,T,0.00,D_Schottky
D3,SOD-123,30.50,40.55,T,90.00,D_Schottky
D4,SOD-123,48.50,48.75,T,0.00,D_Schottky
D5,0805,57.00,17.00,T,180.00,RED
D6,0805,30.50,35.50,T,-90.00,LED
D7,SOD-123,17.50,11.50,T,-90.00,D_Schottky
D9,0805,54.30,21.20,T,180.00,LED
DS2,ER-CON24HT,6.50,26.67,T,-90.00,ER-CON24
F1,0805,45.25,48.25,T,90.00,PTC
FID1,1mmDia2.54mm_Out,2.00,2.00,T,0.00,Fiducial-PCB
FID2,1mmDia2.54mm_Out,62.00,51.34,T,0.00,Fiducial-PCB
FID5,1mmDia2.54mm_Out,2.00,51.34,T,0.00,Fiducial-PCB
J5,12401610E4,59.80,43.20,T,90.00,USB_C_Rcpt_Min
Q1,SOT-23,44.25,16.75,T,90.00,MOSFET
R1,0805,52.00,11.00,T,90.00,10K
R2,0805,27.60,35.35,T,90.00,150
R3,0805,24.00,46.00,T,0.00,150
R4,0805,14.00,19.32,T,180.00,390K
R5,0805,49.70,23.75,T,-90.00,3.9K
R6,0805,49.70,26.97,T,90.00,3.9K
R7,0805,24.00,16.20,T,90.00,10K
R8,0805,31.50,16.00,T,90.00,1.5K
R9,0805,35.00,16.00,T,-90.00,22
R10,0805,24.00,21.50,T,90.00,10K
R11,0805,47.25,39.75,T,180.00,22
R12,0805,22.00,11.00,T,90.00,12K
R13,0805,22.00,7.00,T,90.00,22K
R14,0805,15.00,12.20,T,-90.00,100
R15,0805,53.00,17.00,T,0.00,150
R16,0805,10.00,29.25,T,-90.00,390K
R17,0805,59.20,24.60,T,90.00,2K
R31,0805,35.30,38.50,T,90.00,1K
R35,0805,27.30,22.70,T,90.00,510
R36,0805,27.30,19.53,T,-90.00,510
R38,0805,25.50,41.00,T,90.00,100K
R39,0805,23.75,41.00,T,-90.00,510
SW1,PTS645,41.00,44.09,T,90.00,SW_SPST
SW2,PTS645,41.00,9.25,T,90.00,SW_SPST
SW4,CLSB-12A,12.00,6.50,T,0.00,SW_SPDT
U1,LQFP-64,41.00,26.67,T,-90.00,STM32F405RGTx
U2,SOT-23,31.50,45.00,T,0.00,LN6206P33M_SOT23
U3,DFN8_2x3mm_0.5mm,26.00,11.40,T,0.00,ATECC608A
U4,DFN8_2x3mm_0.5mm,30.80,11.40,T,0.00,ATAES132A
U5,ChipLED-6_2x2mm,31.75,5.75,T,90.00,LTR303ALS
U7,SOT-23-5,58.10,21.20,T,0.00,MCP73831-2-OT
Y1,ABM3B-4_5.0x3.2mm,44.25,36.50,T,0.00,Crystal_GND24
BT1,Keystone_1058_1x2032-CoinCell,42.00,26.67,B,90.00,Battery_Cell
C25,0805,40.50,31.50,B,90.00,100nF
C26,0805,37.75,25.90,B,180.00,100nF
C34,0805,4.80,21.50,B,90.00,4.7uF
C35,0805,6.50,21.50,B,90.00,4.7uF
D8,0805,16.60,43.90,B,0.00,WHITE
DS1,ER-CON30HT,57.50,26.67,B,90.00,SSD1306
FID3,FID1mmDIA2.54mm,62.00,2.00,B,90.00,Fiducial-PCB
FID4,FID1mmDIA2.54mm,2.00,51.34,B,90.00,Fiducial-PCB
FID6,FID1mmDIA2.54mm,62.00,51.34,B,90.00,Fiducial-PCB
R18,0805,9.80,21.20,B,0.00,470
R32,0805,16.35,41.75,B,0.00,150
R33,0805,5.00,40.50,B,180.00,5.1K
R34,0805,5.00,46.00,B,180.00,5.1K
U6,LGA-12_2x2mm_P0.5mm,40.75,26.67,B,-90.00,BMA280
