#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Placement height,Placement delay,Vacuum detection,Vacuum value,Vision alignment,Speed,
stack,1,0,13,408.04,88.89,90.00,0805,0805/22,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,2,0,13,408.25,102.09,90.00,0805,1206/47nF,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,3,0,13,408.45,115.27,90.00,0805,0805/150,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,4,0,13,408.68,130.13,90.00,0805,0805/1K,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,5,0,13,408.95,143.37,90.00,0805,0805/1.5K,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,6,0,13,408.73,157.21,90.00,0805,0805/3.9K,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,8,0,13,409.17,250.95,90.00,0805,0805/5.1K,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,9,0,13,408.89,264.79,90.00,0805,0805/10K,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,10,0,13,408.67,278.30,90.00,0805,0805/12K,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,11,0,13,408.40,291.73,90.00,0805,0805/22K,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,12,0,13,408.39,305.17,90.00,0805,0805/390K,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,13,0,13,407.92,318.58,90.00,0805,0805/12pF,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,16,0,13,409.06,359.29,90.00,0805,0805/100nF,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,17,0,13,408.10,372.43,90.00,0805,0805/1uF,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,18,0,13,408.05,386.14,90.00,0805,0805/2.2uF,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,20,0,13,22.72,22.04,-90.00,0805,0805/LEDR,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,21,0,13,22.73,35.67,-90.00,0805,0805/LEDG,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,22,0,13,22.41,49.29,-90.00,0805,0805/LEDY,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,31,0,13,23.06,172.70,-90.00,0805,0805/PTC,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,32,0,13,22.78,186.78,-90.00,SOD123,SOD123/SCHOT,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,33,0,13,22.76,200.14,90.00,SOT23,SOT23/MOSFET,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,34,0,13,22.66,213.86,90.00,SOT23,SOT23/MCP1703A,1.00,0,1.00,0,Yes,-40,1,100,4,50,80,No,No,
stack,37,0,2,22.60,243.08,-90.00,ABM3B,ABM3B/8MHZ,0.50,0,1.00,0,Yes,-40,1,100,8,50,80,No,No,
stack,46,0,4,23.00,360.90,-90.00,LQFP64,,0.50,0,3.20,0,Yes,-40,1,100,16,50,80,No,No,
stack,54,1,4,74.50,58.36,0.00,LQFP64,LQFP64/NMCU,1.00,0,3.20,0,Yes,-40,1,100,8,6,184.00,134.68,1,1,No,No,
stack,55,1,2,74.76,176.98,0.00,TACTF,PTS645/SWSPST,3.20,0,4.00,0,Yes,-40,1,100,1,18,74.38,380.60,1,1,No,No,
pcb,Machine,Trace,100,100,318,360,Back,10,10,200,
mark,Mirror,Auto,2,2,62,51.34,2,51.34,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
markext,2,0.8,3,1,0,
test,No,
mirror_create,2,3,271.44,232.86,271.68,343.44,337.56,343.15,0,
mirror,271.44,232.86,0,No,
mirror,337.32,232.57,0,No,
mirror,271.56,288.15,0,No,
mirror,337.44,287.86,0,No,
mirror,271.68,343.44,0,No,
mirror,337.56,343.15,0,No,
#Chip,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,13,1,C1,12pF,0805,48.50,36.50,-90.00,No,
comp,13,3,C2,12pF,0805,40.00,36.50,-90.00,No,
comp,16,1,C3,100nF,0805,31.50,48.00,180.00,No,
comp,16,3,C4,100nF,0805,36.50,47.50,90.00,No,
comp,18,1,C5,2.2uF,0805,37.00,10.00,90.00,No,
comp,18,3,C6,2.2uF,0805,35.00,12.00,90.00,No,
comp,16,1,C7,100nF,0805,14.00,48.00,0.00,No,
comp,17,3,C8,1uF,0805,14.00,40.50,0.00,No,
comp,17,1,C9,1uF,0805,14.00,38.00,0.00,No,
comp,16,3,C10,100nF,0805,14.00,33.32,0.00,No,
comp,17,1,C11,1uF,0805,14.00,31.22,0.00,No,
comp,16,3,C12,100nF,0805,51.50,32.00,0.00,No,
comp,16,1,C13,100nF,0805,37.50,35.00,90.00,No,
comp,16,3,C14,100nF,0805,33.00,31.50,90.00,No,
comp,16,1,C15,100nF,0805,37.50,16.50,-90.00,No,
comp,16,3,C16,100nF,0805,48.00,20.40,90.00,No,
comp,18,1,C17,2.2uF,0805,14.00,17.00,0.00,No,
comp,16,3,C18,100nF,0805,48.50,31.42,90.00,No,
comp,17,1,C19,1uF,0805,28.00,41.20,-90.00,No,
comp,16,3,C20,100nF,0805,27.25,16.00,90.00,No,
comp,17,1,C21,1uF,0805,28.00,45.50,90.00,No,
comp,16,3,C22,100nF,0805,59.00,2.50,90.00,No,
comp,16,1,C23,100nF,0805,29.25,16.00,90.00,No,
comp,16,3,C24,100nF,0805,35.00,6.15,90.00,No,
comp,1,2,C27,47nF,1206,34.50,47.00,90.00,Yes,
comp,22,1,D1,LEDY,0805,51.50,30.00,0.00,No,
comp,20,3,D5,LEDR,0805,57.00,17.00,180.00,No,
comp,21,1,D6,LEDG,0805,30.50,35.50,-90.00,No,
comp,32,3,D2,SCHOT,SOD123,56.50,29.50,0.00,No,
comp,32,1,D3,SCHOT,SOD123,30.50,40.55,90.00,No,
comp,32,3,D4,SCHOT,SOD123,48.50,48.75,0.00,No,
comp,32,1,D7,SCHOT,SOD123,17.50,11.50,-90.00,No,
comp,31,3,F1,PTC,0805,45.25,48.25,90.00,No,
comp,1,4,J5,12401610E4,USBCR,59.80,43.20,90.00,Yes,
comp,33,1,Q1,MOSFET,SOT23,44.25,16.75,90.00,No,
comp,9,3,R1,10K,0805,52.00,11.00,90.00,No,
comp,3,1,R2,150,0805,27.60,35.35,90.00,No,
comp,3,3,R3,150,0805,52.05,34.00,0.00,No,
comp,12,1,R4,390K,0805,14.00,19.32,0.00,No,
comp,6,3,R5,3.9K,0805,49.70,23.75,-90.00,No,
comp,6,1,R6,3.9K,0805,49.70,26.97,90.00,No,
comp,9,3,R7,10K,0805,24.00,17.00,90.00,No,
comp,5,1,R8,1.5K,0805,31.50,16.00,90.00,No,
comp,1,3,R9,22,0805,35.00,16.00,-90.00,No,
comp,9,1,R10,10K,0805,24.00,21.50,90.00,No,
comp,1,3,R11,22,0805,47.25,39.75,0.00,No,
comp,10,1,R12,12K,0805,22.00,11.00,90.00,No,
comp,11,3,R13,22K,0805,22.00,7.00,90.00,No,
comp,2,1,R14,100,0805,13.20,7.00,90.00,No,
comp,3,3,R15,150,0805,53.00,17.00,0.00,No,
comp,4,1,R31,1K,0805,35.30,38.50,90.00,No,
comp,55,2,SW1,SWSPST,PTS645,41.00,44.09,90.00,No,
comp,55,2,SW2,SWSPST,PTS645,41.00,9.25,90.00,No,
comp,55,2,SW3,SWSPST,PTS645,22.00,44.00,90.00,Yes,
comp,54,4,U1,NMCU,LQFP64,41.00,26.67,-90.00,No,
