Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0805,48.50,36.50,48.50,36.50,48.50,36.50,T,-90.00,12pF
C2,C_0805,40.00,36.50,40.00,36.50,40.00,36.50,T,-90.00,12pF
C3,C_0805,31.50,48.00,31.50,48.00,31.50,48.00,T,180.00,100nF
C4,C_0805,36.50,47.50,36.50,47.50,36.50,47.50,T,90.00,100nF
C5,C_0805,37.00,10.00,37.00,10.00,37.00,10.00,T,90.00,2.2uF
C6,C_0805,35.00,12.00,35.00,12.00,35.00,12.00,T,90.00,2.2uF
C7,C_0805,14.00,48.00,14.00,48.00,14.00,48.00,T,0.00,100nF
C8,C_0805,14.00,40.50,14.00,40.50,14.00,40.50,T,0.00,1uF
C9,C_0805,14.00,38.00,14.00,38.00,14.00,38.00,T,0.00,1uF
C10,C_0805,14.00,33.32,14.00,33.32,14.00,33.32,T,0.00,100nF
C11,C_0805,14.00,31.22,14.00,31.22,14.00,31.22,T,0.00,1uF
C12,C_0805,51.50,32.00,51.50,32.00,51.50,32.00,T,0.00,100nF
C13,C_0805,37.50,35.00,37.50,35.00,37.50,35.00,T,90.00,100nF
C14,C_0805,33.00,31.50,33.00,31.50,33.00,31.50,T,90.00,100nF
C15,C_0805,37.50,16.50,37.50,16.50,37.50,16.50,T,-90.00,100nF
C16,C_0805,48.00,20.40,48.00,20.40,48.00,20.40,T,90.00,100nF
C17,C_0805,14.00,17.00,14.00,17.00,14.00,17.00,T,0.00,2.2uF
C18,C_0805,48.50,31.42,48.50,31.42,48.50,31.42,T,90.00,100nF
C19,C_0805,28.00,41.20,28.00,41.20,28.00,41.20,T,-90.00,1uF
C20,C_0805,27.25,16.00,27.25,16.00,27.25,16.00,T,90.00,100nF
C21,C_0805,28.00,45.50,28.00,45.50,28.00,45.50,T,90.00,1uF
C22,C_0805,59.00,2.50,59.00,2.50,59.00,2.50,T,90.00,100nF
C23,C_0805,29.25,16.00,29.25,16.00,29.25,16.00,T,90.00,100nF
C24,C_0805,35.00,6.15,35.00,6.15,35.00,6.15,T,90.00,100nF
C27,C_1206,34.50,47.00,34.50,47.00,34.50,47.00,T,90.00,47nF
D1,LED_0805,51.50,30.00,51.50,30.00,51.50,30.00,T,0.00,Yellow
D2,SOD123,56.50,29.50,56.50,29.50,56.50,29.50,T,0.00,Schottky
D3,SOD123,30.50,40.55,30.50,40.55,30.50,40.55,T,90.00,Schottky
D4,SOD123,48.50,48.75,48.50,48.75,48.50,48.75,T,0.00,Schottky
D5,LED_0805,57.00,17.00,57.00,17.00,57.00,17.00,T,180.00,Red
D6,LED_0805,30.50,35.50,30.50,35.50,30.50,35.50,T,-90.00,LED
D7,SOD123,17.50,11.50,17.50,11.50,17.50,11.50,T,-90.00,Schottky
F1,R_0805,45.25,48.25,45.25,48.25,45.25,48.25,T,90.00,PTC
