Ref,Package,Val,PosX,PosY,Rot,Side
Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
BT1,Keystone_3000_1x12mm-CoinCell,147.00,-93.00,270.00,B,Battery_Cell
C21,C_0805,141.50,-123.00,B,180.00,100nF
C22,C_0805,145.00,-123.00,B,0.00,100nF
DS1,Eastrising_ER-CON30HT-1_01x30_P0.50mm,126.67,-70.50,B,0.00,ER-CON30
LOGO1,MoneroCircleCombi,140.00,-78.00,B,180.00,Monerologo-mid
LOGOTXT1,MoneroTextSilk,120.00,-78.00,B,180.00,Monerologo-txt
R15,R_0805,146.00,-126.00,B,-90.00,1.5K
R16,R_0805,140.50,-126.00,B,90.00,2.4K
R17,R_0805,143.25,-126.00,B,90.00,2.4K
C1,C_0805,102.54,-122.92,T,90.00,100nF
C2,C_0805,123.85,-107.65,T,0.00,100nF
C3,C_0805,127.00,-101.50,T,-90.00,470nF
C4,C_0805,133.00,-69.00,T,-90.00,1uF
C5,C_0805,131.00,-69.00,T,-90.00,1uF
C6,C_0805,115.00,-94.75,T,0.00,15pF
C7,C_0805,115.00,-97.25,T,180.00,15pF
C8,C_0805,129.00,-69.00,T,90.00,100nF
C9,C_0805,127.00,-69.00,T,90.00,1uF
C10,C_0805,125.00,-98.25,T,-90.00,1uF
C11,C_0805,123.00,-98.25,T,-90.00,100nF
C12,C_0805,108.75,-94.75,T,180.00,1uF
C13,C_0805,119.618240,-69.00,T,90.00,2.2uF
C14,C_0805,118.00,-101.00,T,180.00,470nF
C15,C_0805,118.00,-103.00,T,180.00,100nF
C18,C_0805,131.00,-82.75,T,180.00,1uF
C19,C_0805,131.00,-84.75,T,180.00,100nF
C23,C_0805,134.50,-112.00,T,180.00,100nF
C26,C_0805,134.50,-114.00,T,180.00,100nF
C28,C_0805,147.00,-105.50,T,90.00,1uF
C29,C_0805,145.80,-100.20,T,180.00,1uF
C30,C_0805,141.60,-105.50,T,-90.00,1uF
C31,C_0805,143.00,-97.00,T,180.00,1uF
C32,C_0805,119.00,-112.75,T,90.00,1uF
D1,SOT-23,144.75,-90.00,T,180.00,BAT54C
D2,SOT-143,128.50,-122.50,T,0.00,SP0503BAHTG
D5,D_SOD-123,134.00,-116.00,T,180.00,D_PMEG
D6,LED_0805,144.50,-113.50,T,90.00,LED
D7,LED_0805,147.00,-113.50,T,90.00,LED
J4,USB_C_Receptacle_Amphenol_12401610E4-2A,143.25,-124.00,T,0.00,USB_C_Receptacle
J10,R_0805,137.85,-103.55,T,-90.00,GS2
J15,R_0805,139.75,-103.55,T,-90.00,GS2
OTP,R_0805,143.50,-95.00,T,0.00,150
R1,R_0805,106.00,-87.36,T,180.00,0
R2,R_0805,106.00,-83.50,T,180.00,12K
R3,R_0805,106.00,-85.40,T,0.00,22K
R4,R_0805,112.00,-101.65,T,-90.00,10K
R5,R_0805,125.00,-101.77,T,-90.00,3.9K
R6,R_0805,123.00,-105.10,T,90.00,3.9K
R7,R_0805,109.00,-101.65,T,-90.00,0
R8,R_0805,135.45,-94.85,T,0.00,100K
R9,R_0805,132.50,-98.68,T,90.00,100K
R10,R_0805,126.99,-98.00,T,-90.00,10
R11,R_0805,138.60,-94.85,T,180.00,100K
R12,R_0805,121.42,-69.00,T,-90.00,390K
R13,R_0805,123.00,-101.75,T,90.00,100
R18,R_0805,121.50,-123.00,T,180.00,22.1K
R19,R_0805,121.50,-121.00,T,0.00,47.5K
R20,R_0805,142.00,-110.00,T,-90.00,220
R21,R_0805,139.50,-110.00,T,-90.00,220
R25,R_0805,137.50,-112.70,T,90.00,1K
R26,R_0805,119.00,-115.75,T,90.00,100K
R27,R_0805,144.50,-110.00,T,90.00,150
R28,R_0805,147.00,-110.00,T,90.00,150
RX,LED_0805,142.00,-113.50,T,90.00,LED
SW1,SW_SPST_K21102SP,114.00,-90.00,T,0.00,SW_SPST
SW2,SW_SPST_K21102SP,139.34,-90.00,T,0.00,SW_SPST
TX,LED_0805,139.50,-113.50,T,90.00,LED
U1,DFN-8-1EP_2x3mm_Pitch0.5mm,124.00,-110.20,T,90.00,ATECC608A
U2,DFN-S-8-1EP_6x5mm_Pitch1.27mm,137.00,-99.00,T,0.00,SST26VF064B
U3,WFBGACEC1702,126.67,-90.00,T,90.00,CEC1702
U4,QFN-28-1EP_5x5mm_Pitch0.5mm,133.00,-106.50,T,90.00,CP2102N
U6,SOT-23,144.30,-105.50,T,-90.00,LN6206P33M
U7,SOT-23,146.80,-96.00,T,-90.00,LN6206P15M
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,118.50,-96.00,T,90.00,Crystal
