"ID";"Reference";"Footprint";"Quantity";"Description";"Vendor";"Datasheet";
1;"U7";"STSPBTLE-RF";1;"SPBTLE-RF";;;
2;"C5,C6,C22,C23";"C_0805";4;"1uF";;;
3;"J1";"USB_Micro-B_Wuerth-629105150521";1;"USB_OTG";;;
4;"L2";"L_1206";1;"10uH";;;
5;"U1";"SOT-23-5";1;"LD39020_3.0V";;;
6;"U2";"TSSOP-8_4.4x3mm_Pitch0.65mm";1;"STMPS2151TTR";;;
7;"U4";"LQFP-64_10x10mm_Pitch0.5mm";1;"STM32L476RCT6";;;
8;"U6";"DFN-12-1EP_3x3mm_Pitch0.45mm";1;"STNS01PUR";;;
9;"U8";"DFN-6-1EP_2x2mm_Pitch0.5mm";1;"STLA02PUR";;;
10;"Y1";"Crystal_SMD_Abracon_ABM3B-4pin_5.0x3.2mm";1;"8 MHz";;;
11;"P1,P2";"Tag-Connect_TC2030-IDC-FP";2;"DEBUG";;;
12;"C1,C2,C3,C4,C9,C13";"C_0805";6;"100nF";;;
13;"C7,C8";"C_0805";2;"20pF";;;
14;"C10,C14";"C_0805";2;"4.7uF";;;
15;"C11,C12,C20";"C_0805";3;"2.2uF";;;
16;"C15";"C_0805";1;"15nF";;;
17;"C16,C17";"C_0805";2;"27pF";;;
18;"C18,C19";"C_0805";2;"180pF";;;
19;"C21";"C_0805";1;"39pF";;;
20;"D1";"D_0805";1;"D_Schottky";;;
21;"R1,R2,R14";"R_0805";3;"10k";;;
22;"R3,R4,R5,R6";"R_0805";4;"1.2k";;;
23;"R7";"R_0805";1;"680k";;;
24;"R8";"R_0805";1;"1M";;;
25;"R9,R12,R13,R16,R17";"R_0805";5;"0";;;
26;"R10,R11";"R_0805";2;"100k";;;
27;"R15";"R_0805";1;"1k";;;
28;"R18";"R_0805";1;"10";;;
29;"U5";"amsAS3921";1;"AMS_AS3921";;;
30;"SW1";"wurth436353045816";1;"WURTH 436353045816";;;
31;"SW2";"multicompMCFTE-3C-V";1;"SW-PB";;;
32;"U3";"ST31G480";1;"ST31G480";;;
33;"BT1";"PINHEAD1-2";1;"Battery";;;
34;"P3";"hiroseFH23-39S";1;"YL035MY2";;;
35;"P4";"wurth687-112-149-022";1;"YL035MY2_TS_WURTH";;;
36;"L1";"PINHEAD1-2";1;"Antenna";;;
