"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C2";"SMD_0805";1;"15p";;;
2;"C3,C5,C7,C12,C13";"SMD_0805";5;"100n";;;
3;"C4,C6,C8,C9";"SMD_0805_bottom";4;"100n";;;
4;"C10,C14";"SMD_0805";2;"2u2";;;
5;"C16,C17";"SMD_0805";2;"1u";;;
6;"D1";"D_SOD-523";1;"D_Schottky";;;
7;"F1";"SMD_0805";1;"Polyfuse_Small";;;
8;"J1";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Programmer";;;
9;"J2";"USB_C_Receptacle_Amphenol_12401548E4-2A";1;"USB_C_Receptacle";;;
10;"J3";"Pin_Header_Straight_1x07_Pitch2.54mm";1;"Display_module";;;
11;"R1,R7";"SMD_0805";2;"4k7";;;
12;"R2";"SMD_0805";1;"12k";;;
13;"R3";"SMD_0805";1;"22k";;;
14;"R4";"SMD_0805";1;"1k5";;;
15;"R5,R6";"SMD_0805";2;"22R";;;
16;"R8,R9";"SMD_0805";2;"10k";;;
17;"S3J1,S3J2";"solder_jumper_3pin_tht_2.54";2;"solder_jumper_3pin";;;
18;"SJ1,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8";"solderjumper_bottom";8;"solder_jumper";;;
19;"SW1,SW2";"BUTTON_SWITCH_SW_SPST_EVPBF";2;"SW_Push";;;
20;"TP1,TP2,TP3,TP4,TP5,TP6";"Test_Point_THT";6;"TEST";;;
21;"U1";"SO-8_3.9x4.9mm_Pitch1.27mm_bottom";1;"ATAES132A";;;
22;"U2";"TQFP-64_10x10mm_Pitch0.5mm";1;"STM32F205RET6";;;
23;"U3";"SO-8_3.9x4.9mm_Pitch1.27mm_bottom";1;"ATECC508A";;;
24;"U4";"SOT-23";1;"MCP1703A-3302_SOT23";;;
25;"U5";"SO-8_3.9x4.9mm_Pitch1.27mm_bottom";1;"ATECC108A";;;
26;"U6";"SO-8_3.9x4.9mm_Pitch1.27mm_bottom";1;"ATSHA204A";;;
27;"R10";"SMD_0805";1;"1k";;;
28;"X1";"Oscillator_SMD_IQD_IQXO70-4pin_7.5x5.0mm";1;"SG-8002JC";;;
29;"SJ9";"solder_jumper";1;"solder_jumper";;;
30;"LOGO1";"xmr_logo";1;"LOGO";;;
