Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,0805,33.50,65.25,33.50,65.25,33.50,65.25,B,90.00,47uF
C2,0805,22.50,46.25,22.50,46.25,22.50,46.25,B,-90.00,10nF
R1,0805,26.50,46.25,26.50,46.25,26.50,46.25,B,-90.00,10K
R2,0805,30.50,46.25,30.50,46.25,30.50,46.25,B,-90.00,47.5K
U1,SOIC8,28.50,54.25,28.50,54.25,28.50,54.25,B,-90.00,TLC555
U2,MicroPak6,28.50,64.25,28.50,64.25,28.50,64.25,B,-90.00,74HCT04
X1,PinheadSMD2x2,40.00,50.25,40.00,50.25,40.00,50.25,B,-90.00,Shittyconn
BT1,Keystone3008,69.50,50.25,69.50,50.25,69.50,50.25,B,90.00,Batterycell
FID2,Fiducial1mm2.54mm,75.50,4.75,75.50,4.75,75.50,4.75,B,90.00,Fiducial
FID4,Fiducial1mm2.54mm,4.50,4.75,4.50,4.75,4.50,4.75,B,90.00,Fiducial
FID6,Fiducial1mm2.54mm,4.50,95.75,4.50,95.75,4.50,95.75,B,90.00,Fiducial
