Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
D1,1206,8.75,75.50,8.75,75.50,8.75,75.50,T,90.00,LED
D2,1206,14.25,75.50,14.25,75.50,14.25,75.50,T,90.00,LED
D3,1206,19.75,75.50,19.75,75.50,19.75,75.50,T,90.00,LED
D4,1206,25.25,75.50,25.25,75.50,25.25,75.50,T,90.00,LED
D5,1206,30.75,75.50,30.75,75.50,30.75,75.50,T,90.00,LED
D6,1206,36.25,75.50,36.25,75.50,36.25,75.50,T,90.00,LED
D7,1206,41.75,75.50,41.75,75.50,41.75,75.50,T,90.00,LED
D8,1206,47.25,75.50,47.25,75.50,47.25,75.50,T,90.00,LED
D9,1206,52.75,75.50,52.75,75.50,52.75,75.50,T,90.00,LED
D10,1206,58.25,75.50,58.25,75.50,58.25,75.50,T,90.00,LED
D11,1206,63.75,75.50,63.75,75.50,63.75,75.50,T,90.00,LED
D12,1206,69.25,75.50,69.25,75.50,69.25,75.50,T,90.00,LED
D13,1206,74.75,75.50,74.75,75.50,74.75,75.50,T,90.00,LED
D14,1206,80.25,75.50,80.25,75.50,80.25,75.50,T,90.00,LED
D15,1206,85.75,75.50,85.75,75.50,85.75,75.50,T,90.00,LED
D16,1206,91.25,75.50,91.25,75.50,91.25,75.50,T,90.00,LED
D17,1206,95.00,70.50,95.00,70.50,95.00,70.50,T,0.00,LED
D18,1206,95.00,65.00,95.00,65.00,95.00,65.00,T,0.00,LED
D19,1206,95.00,59.50,95.00,59.50,95.00,59.50,T,0.00,LED
D20,1206,95.00,54.00,95.00,54.00,95.00,54.00,T,0.00,LED
D21,1206,95.00,48.50,95.00,48.50,95.00,48.50,T,0.00,LED
D22,1206,95.00,43.00,95.00,43.00,95.00,43.00,T,0.00,LED
D23,1206,95.00,37.50,95.00,37.50,95.00,37.50,T,0.00,LED
D24,1206,95.00,32.00,95.00,32.00,95.00,32.00,T,0.00,LED
D25,1206,95.00,26.50,95.00,26.50,95.00,26.50,T,0.00,LED
D26,1206,95.00,21.00,95.00,21.00,95.00,21.00,T,0.00,LED
D27,1206,95.00,15.50,95.00,15.50,95.00,15.50,T,0.00,LED
D28,1206,95.00,10.00,95.00,10.00,95.00,10.00,T,0.00,LED
D29,1206,91.25,4.50,91.25,4.50,91.25,4.50,T,-90.00,LED
D30,1206,85.75,4.50,85.75,4.50,85.75,4.50,T,-90.00,LED
D31,1206,80.25,4.50,80.25,4.50,80.25,4.50,T,-90.00,LED
D32,1206,74.75,4.50,74.75,4.50,74.75,4.50,T,-90.00,LED
D33,1206,69.25,4.50,69.25,4.50,69.25,4.50,T,-90.00,LED
D34,1206,63.75,4.50,63.75,4.50,63.75,4.50,T,-90.00,LED
D35,1206,58.25,4.50,58.25,4.50,58.25,4.50,T,-90.00,LED
D36,1206,52.75,4.50,52.75,4.50,52.75,4.50,T,-90.00,LED
D37,1206,47.25,4.50,47.25,4.50,47.25,4.50,T,-90.00,LED
D38,1206,41.75,4.50,41.75,4.50,41.75,4.50,T,-90.00,LED
D39,1206,36.25,4.50,36.25,4.50,36.25,4.50,T,-90.00,LED
D40,1206,30.75,4.50,30.75,4.50,30.75,4.50,T,-90.00,LED
D41,1206,25.25,4.50,25.25,4.50,25.25,4.50,T,-90.00,LED
D42,1206,19.75,4.50,19.75,4.50,19.75,4.50,T,-90.00,LED
D43,1206,14.25,4.50,14.25,4.50,14.25,4.50,T,-90.00,LED
D44,1206,8.75,4.50,8.75,4.50,8.75,4.50,T,-90.00,LED
D45,1206,5.00,10.00,5.00,10.00,5.00,10.00,T,180.00,LED
D46,1206,5.00,15.50,5.00,15.50,5.00,15.50,T,180.00,LED
D47,1206,5.00,21.00,5.00,21.00,5.00,21.00,T,180.00,LED
D48,1206,5.00,26.50,5.00,26.50,5.00,26.50,T,180.00,LED
D49,1206,5.00,32.00,5.00,32.00,5.00,32.00,T,180.00,LED
D50,1206,5.00,37.50,5.00,37.50,5.00,37.50,T,180.00,LED
D51,1206,5.00,43.00,5.00,43.00,5.00,43.00,T,180.00,LED
D52,1206,5.00,48.50,5.00,48.50,5.00,48.50,T,180.00,LED
D53,1206,5.00,54.00,5.00,54.00,5.00,54.00,T,180.00,LED
D54,1206,5.00,59.50,5.00,59.50,5.00,59.50,T,180.00,LED
D55,1206,5.00,65.00,5.00,65.00,5.00,65.00,T,180.00,LED
D56,1206,5.00,70.50,5.00,70.50,5.00,70.50,T,180.00,LED
JP1,0805,3.00,3.50,3.00,3.50,3.00,3.50,T,-90.00,Jumper
FID1,Fid1mm2.54mm,4.50,75.50,4.50,75.50,4.50,75.50,T,0.00,Fiducial
FID3,Fid1mm2.54mm,95.50,75.50,95.50,75.50,95.50,75.50,T,0.00,Fiducial
FID5,Fid1mm2.54mm,95.50,4.50,95.50,4.50,95.50,4.50,T,0.00,Fiducial
